ES,MI,WE
0,0,0
0.284914308984869,1.35550881326397,0.11116059388337
0.414668118285883,0.292339770086601,0.0297728348908476
0.0392615091372265,0.0211613383589475,0.00722407583485436
0.16724722566819,0.146540447575655,4.10944275203425e-05
7.02364294182289e-05,0.10578068086888,0.0648088882362972
0.0276291212655787,0.00387107070127186,0.0127552387338373
0.0171412618869367,0.0588243378669973,0.0928750053848137
0,0.0118120574346954,0.00627068194984855
0.00137327508789836,0,0.00257265684195086
0.122558875357954,0,0.000670714296272627
0.0889248595660997,0,0.0340889793265131
