Year,X,Y
1,-102.890301664055,33.8162363479027
2,-100.399634510192,34.1915851776567
3,-100.791819043981,34.6256315223914
4,-100.47563217669,34.4804725728185
5,-99.982335365156,34.5921758765497
6,-99.9995262998017,34.5675466841097
7,-99.9519773060982,34.6230106978547
8,-100.114297332289,35.3775136844662
9,-100.116025516297,35.3779037090444
10,-100.134456996546,35.3850835085871
11,-98.7397905231479,35.8523334592194
12,-97.7798085978726,36.585276961107
